source_id,source_type,platform,title_or_subject,publisher_or_author,source_url,publication_date,access_date,jurisdiction,authority_level,access_status,summary,limitations,review_status
S001,PRACTITIONER_COMMENT,taxguru.in,comment on post 1047843,A15,https://taxguru.in/?p=1047843#comment-122504130,2026-06-04,2026-08-19,IN,E_ANECDOTAL,PUBLIC,Hi Janvi. Very nicely explained. How many Companies in India as on date maintaining the Minutes is digital forms.,single public comment; role not verified; no sample; not legal authority,EXTRACTED
S002,PRACTITIONER_COMMENT,taxguru.in,comment on post 1047843,A04,https://taxguru.in/?p=1047843#comment-122504121,2026-06-04,2026-08-19,IN,E_ANECDOTAL,PUBLIC,Good Post. It has come out at the right time when I am discussing with clients to maintain minutes in electronic form.,single public comment; role not verified; no sample; not legal authority,EXTRACTED
S003,PRACTITIONER_COMMENT,taxguru.in,comment on post 1038944,A01,https://taxguru.in/?p=1038944#comment-122504191,2026-06-10,2026-08-19,IN,E_ANECDOTAL,PUBLIC,A well-articulated piece on a subject that is often underestimated in corporate practice.,single public comment; role not verified; no sample; not legal authority,EXTRACTED
S004,PRACTITIONER_COMMENT,taxguru.in,comment on post 1049910,A16,https://taxguru.in/?p=1049910#comment-122504217,2026-06-12,2026-08-19,IN,E_ANECDOTAL,PUBLIC,Nice article but provisions are very harsh under section 122 ( 1 ) A for certain offences penalty equal to tax amount can be levied on any person whose advise transaction has been conducted.,single public comment; role not verified; no sample; not legal authority,EXTRACTED
S005,PRACTITIONER_COMMENT,taxguru.in,comment on post 623612,A02,https://taxguru.in/?p=623612#comment-122504296,2026-06-20,2026-08-19,IN,E_ANECDOTAL,PUBLIC,"Whether a director who has resigned from a company after the company failed to file its annual returns for two consecutive financial years, and before the due date for filing the annual return for the third financial yea",single public comment; role not verified; no sample; not legal authority,EXTRACTED
S006,PRACTITIONER_COMMENT,taxguru.in,comment on post 1052549,A13,https://taxguru.in/?p=1052549#comment-122504321,2026-06-23,2026-08-19,IN,E_ANECDOTAL,PUBLIC,Check Here: https://www.mca.gov.in/content/mca/global/en/acts-rules/ebooks/circulars.html,single public comment; role not verified; no sample; not legal authority,EXTRACTED
S007,PRACTITIONER_COMMENT,taxguru.in,comment on post 1053230,A10,https://taxguru.in/?p=1053230#comment-122504394,2026-06-30,2026-08-19,IN,E_ANECDOTAL,PUBLIC,"For those who missed the June 30, 2026 deadline, here is what you can still do: GSTAT condonation of delay (Section 112(9) CGST Act): GSTAT can condone delay up to 1 month beyond the limitation period if you show suffici",single public comment; role not verified; no sample; not legal authority,EXTRACTED
S008,PRACTITIONER_COMMENT,taxguru.in,comment on post 1057000,A10,https://taxguru.in/?p=1057000#comment-122504581,2026-07-15,2026-08-19,IN,E_ANECDOTAL,PUBLIC,The August 31 extension applies specifically to non-audit business and professional income filers using ITR-3 and ITR-4.,single public comment; role not verified; no sample; not legal authority,EXTRACTED
S009,PRACTITIONER_COMMENT,taxguru.in,comment on post 1039521,A10,https://taxguru.in/?p=1039521#comment-122504588,2026-07-16,2026-08-19,IN,E_ANECDOTAL,PUBLIC,"Two points that tend to cause confusion under CCFS-2026: On eligibility exclusions: The scheme covers pending ROC documents (MGT-7, MGT-7A, AOC-4, AOC-4 CFS, AOC-4 XBRL, ADT-1, MGT-14 and other STP forms notified) but ex",single public comment; role not verified; no sample; not legal authority,EXTRACTED
S010,PRACTITIONER_COMMENT,taxguru.in,comment on post 1057623,A05,https://taxguru.in/?p=1057623#comment-122504586,2026-07-16,2026-08-19,IN,E_ANECDOTAL,PUBLIC,Well articulated distinction. ‘valid service’ under Section 169 was designed for a digitally fluent taxpayer.,single public comment; role not verified; no sample; not legal authority,EXTRACTED
S011,PRACTITIONER_COMMENT,taxguru.in,comment on post 66836,A08,https://taxguru.in/?p=66836#comment-122504585,2026-07-16,2026-08-19,IN,E_ANECDOTAL,PUBLIC,Similarly the limitation of Paid up capital & turnover presently applicable for OPCs (paid up share capital of fifty lakhs rupees and average annual turnover during the relevant period of two crore rupees) is being done,single public comment; role not verified; no sample; not legal authority,EXTRACTED
