claim_id,source_id,claim_text,claim_type,evidence_location,date_scope,jurisdiction,confidence,corroboration_status,legal_authority_status,product_implication,review_notes
C001,S001,Hi Janvi. Very nicely explained. How many Companies in India as on date maintaining the Minutes is digital forms.,OPINION,comment 122504130,2026-06-04,IN,LOW,SINGLE_SOURCE,NOT_A_LEGAL_CLAIM,interview prompt only,
C002,S002,Good Post. It has come out at the right time when I am discussing with clients to maintain minutes in electronic form.,OPINION,comment 122504121,2026-06-04,IN,LOW,SINGLE_SOURCE,NOT_A_LEGAL_CLAIM,interview prompt only,
C003,S003,A well-articulated piece on a subject that is often underestimated in corporate practice.,OPINION,comment 122504191,2026-06-10,IN,LOW,SINGLE_SOURCE,NOT_A_LEGAL_CLAIM,interview prompt only,
C004,S004,Nice article but provisions are very harsh under section 122 ( 1 ) A for certain offences penalty equal to tax amount can be levied on any person whose advise transaction has been conducted.,OPINION,comment 122504217,2026-06-12,IN,LOW,SINGLE_SOURCE,NOT_A_LEGAL_CLAIM,interview prompt only,
C005,S005,"Whether a director who has resigned from a company after the company failed to file its annual returns for two consecutive financial years, and before the due date for filing the annual return for the third financial yea",QUESTION,comment 122504296,2026-06-20,IN,LOW,SINGLE_SOURCE,NOT_A_LEGAL_CLAIM,interview prompt only,
C006,S006,Check Here: https://www.mca.gov.in/content/mca/global/en/acts-rules/ebooks/circulars.html,OPINION,comment 122504321,2026-06-23,IN,LOW,SINGLE_SOURCE,NOT_A_LEGAL_CLAIM,interview prompt only,
C007,S007,"For those who missed the June 30, 2026 deadline, here is what you can still do: GSTAT condonation of delay (Section 112(9) CGST Act): GSTAT can condone delay up to 1 month beyond the limitation period if you show suffici",OPINION,comment 122504394,2026-06-30,IN,LOW,SINGLE_SOURCE,NOT_A_LEGAL_CLAIM,interview prompt only,
C008,S008,The August 31 extension applies specifically to non-audit business and professional income filers using ITR-3 and ITR-4.,OPINION,comment 122504581,2026-07-15,IN,LOW,SINGLE_SOURCE,NOT_A_LEGAL_CLAIM,interview prompt only,
C009,S009,"Two points that tend to cause confusion under CCFS-2026: On eligibility exclusions: The scheme covers pending ROC documents (MGT-7, MGT-7A, AOC-4, AOC-4 CFS, AOC-4 XBRL, ADT-1, MGT-14 and other STP forms notified) but ex",OPINION,comment 122504588,2026-07-16,IN,LOW,SINGLE_SOURCE,NOT_A_LEGAL_CLAIM,interview prompt only,
C010,S010,Well articulated distinction. ‘valid service’ under Section 169 was designed for a digitally fluent taxpayer.,OPINION,comment 122504586,2026-07-16,IN,LOW,SINGLE_SOURCE,NOT_A_LEGAL_CLAIM,interview prompt only,
