signal_id,source_id,platform,topic,problem_summary,workaround,engagement_if_available,role_if_stated,anonymization_status,verification_status
G001,S001,taxguru.in,meetings_and_governance,Hi Janvi. Very nicely explained. How many Companies in India as on date maintaining the Minutes is digital forms.,,,,PSEUDONYMISED,UNVERIFIED
G002,S002,taxguru.in,meetings_and_governance,Good Post. It has come out at the right time when I am discussing with clients to maintain minutes in electronic form.,,,,PSEUDONYMISED,UNVERIFIED
G003,S003,taxguru.in,unclassified,A well-articulated piece on a subject that is often underestimated in corporate practice.,,,,PSEUDONYMISED,UNVERIFIED
G004,S004,taxguru.in,penalty_and_default,Nice article but provisions are very harsh under section 122 ( 1 ) A for certain offences penalty equal to tax amount can be levied on any person whose advise t,,,,PSEUDONYMISED,UNVERIFIED
G005,S005,taxguru.in,deadline_and_due_date|penalty_and_default|meetings_and_governance,"Whether a director who has resigned from a company after the company failed to file its annual returns for two consecutive financial years, and before the due d",,,,PSEUDONYMISED,UNVERIFIED
G006,S006,taxguru.in,unclassified,Check Here: https://www.mca.gov.in/content/mca/global/en/acts-rules/ebooks/circulars.html,,,,PSEUDONYMISED,UNVERIFIED
G007,S007,taxguru.in,deadline_and_due_date|small_company_thresholds|audit_and_auditor|meetings_and_governance|portal_or_process,"For those who missed the June 30, 2026 deadline, here is what you can still do: GSTAT condonation of delay (Section 112(9) CGST Act): GSTAT can condone delay up",,,,PSEUDONYMISED,UNVERIFIED
G008,S008,taxguru.in,deadline_and_due_date|form_filing|amendment_or_change|audit_and_auditor|portal_or_process,The August 31 extension applies specifically to non-audit business and professional income filers using ITR-3 and ITR-4.,,,,PSEUDONYMISED,UNVERIFIED
G009,S009,taxguru.in,deadline_and_due_date|form_filing|penalty_and_default|audit_and_auditor|portal_or_process,"Two points that tend to cause confusion under CCFS-2026: On eligibility exclusions: The scheme covers pending ROC documents (MGT-7, MGT-7A, AOC-4, AOC-4 CFS, AO",,,,PSEUDONYMISED,UNVERIFIED
G010,S010,taxguru.in,unclassified,Well articulated distinction. ‘valid service’ under Section 169 was designed for a digitally fluent taxpayer.,,,,PSEUDONYMISED,UNVERIFIED
G011,S011,taxguru.in,amendment_or_change|small_company_thresholds,Similarly the limitation of Paid up capital & turnover presently applicable for OPCs (paid up share capital of fifty lakhs rupees and average annual turnover du,,,,PSEUDONYMISED,UNVERIFIED
G012,S012,taxguru.in,deadline_and_due_date|form_filing|amendment_or_change|portal_or_process,Three practical points that frequently get overlooked in the 1 April 2026 transition.,,,,PSEUDONYMISED,UNVERIFIED
G013,S013,taxguru.in,form_filing|penalty_and_default|small_company_thresholds,The article covers the basics well. A few practical additions from the field: ITR-1 vs ITR-2 confusion: The most common mistake is salaried employees with any m,,,,PSEUDONYMISED,UNVERIFIED
G014,S014,taxguru.in,form_filing,Good analysis of the Golden Traders ruling.,,,,PSEUDONYMISED,UNVERIFIED
G015,S015,taxguru.in,unclassified,"In the Article, it is written, “Please note that the meeting of creditors can be dispensed/done with if written consented affidavits are received from creditors",,,,PSEUDONYMISED,UNVERIFIED
G016,S016,taxguru.in,form_filing|penalty_and_default|small_company_thresholds|portal_or_process,Worth being specific about the practical impact here.,,,,PSEUDONYMISED,UNVERIFIED
G017,S017,taxguru.in,deadline_and_due_date|form_filing|penalty_and_default|amendment_or_change,"The Budget 2026 changes to Section 139(8A) removed two restrictions on ITR-U, but a common confusion is when to choose ITR-U vs a belated return.",,,,PSEUDONYMISED,UNVERIFIED
G018,S018,taxguru.in,form_filing|amendment_or_change|small_company_thresholds,"A few practical points on how TDS changed under the Income Tax Act, 2025 for the first quarter return.",,,,PSEUDONYMISED,UNVERIFIED
G019,S019,taxguru.in,deadline_and_due_date|form_filing|amendment_or_change|small_company_thresholds|audit_and_auditor,"THREE DIFFERENT ROUTES , NOT JUST ONE: Late filing has three different routes depending on timing: BELATED RETURN (Section 139(4)): For those who missed July 31",,,,PSEUDONYMISED,UNVERIFIED
G020,S020,taxguru.in,deadline_and_due_date|penalty_and_default|amendment_or_change,"This is one of the most misunderstood provisions, so useful clarification: SECTION 234F TRIGGER POINT: Section 234F applies to the ACT OF LATE FILING of the ret",,,,PSEUDONYMISED,UNVERIFIED
G021,S021,taxguru.in,form_filing,The ITAT Jaipur ruling restates a principle that assessment officers routinely ignore.,,,,PSEUDONYMISED,UNVERIFIED
G022,S022,taxguru.in,unclassified,This ruling enforces a principle that GST adjudication routinely ignores.,,,,PSEUDONYMISED,UNVERIFIED
G023,S023,taxguru.in,small_company_thresholds|portal_or_process,The Delhi HC decision is an important practical reminder for anyone who has missed a demand order because the notice was allegedly not received.,,,,PSEUDONYMISED,UNVERIFIED
G024,S024,taxguru.in,small_company_thresholds,The ITAT Surat ruling addresses a technically important point about how TDS provisions interact.,,,,PSEUDONYMISED,UNVERIFIED
G025,S025,taxguru.in,deadline_and_due_date|penalty_and_default|amendment_or_change,"Practical addition: the notice section numbering has changed under the Income Tax Act 2025, which is causing confusion for both taxpayers and some practitioners.",,,,PSEUDONYMISED,UNVERIFIED
G026,S026,taxguru.in,deadline_and_due_date|form_filing|penalty_and_default|audit_and_auditor|portal_or_process,Good update. A few practical points for companies and practitioners preparing to use this window: Forms eligible under CCFS-2026 that are commonly missed: AOC-4,,,,PSEUDONYMISED,UNVERIFIED
